filename,id,sig,src,time_ms,time_sec,execs,op,rep,time_diff_sec
auto1,000000,11,000012,386064,386,2028,havoc,3,386.0
auto2,000000,11,000041,1024072,1024,2502,havoc,1,638.0
auto3,000000,11,000019,4625310,4625,3389,havoc,4,3601.0
auto4,000000,11,000072,8221084,8221,3099,havoc,7,3596.0
auto5,000000,11,000228,11824024,11824,3571,havoc,2,3603.0
auto6,000000,11,000044,15423024,15423,3471,havoc,4,3599.0
auto7,000000,11,000242,19023069,19023,3480,havoc,1,3600.0
auto8,000000,11,000092,22627048,22627,4127,havoc,1,3604.0
auto9,000000,11,000025,26225134,26225,3790,havoc,2,3598.0
auto10,000000,11,000012,29830388,29830,4577,havoc,10,3605.0
auto11,000000,11,000027,33425220,33425,3872,havoc,1,3595.0
auto12,000000,11,000224,37024233,37024,3732,havoc,1,3599.0
