filename,id,sig,src,time_ms,time_sec,execs,op,rep,time_diff_sec
auto1,000000,11,000071,40624134,40624,3763,havoc,2,
auto2,000000,11,000268+000192,44226963,44226,3983,havoc,1,3602.0
auto3,000000,11,000141+000163,47825891,47825,3874,havoc,14,3599.0
auto4,000000,11,000051+000127,51423994,51423,3687,havoc,6,3598.0
auto5,000000,11,000046+000183,55028224,55028,4032,havoc,1,3605.0
auto6,000000,11,000228+000096,58625586,58625,3757,havoc,1,3597.0
auto7,000000,11,000036+000139,62231919,62231,4497,splice,2,3606.0
auto8,000000,11,000232+000263,65829850,65829,4320,havoc,13,3598.0
auto9,000000,11,000037+000117,69431714,69431,4480,havoc,4,3602.0
auto10,000000,11,000102+000073,73025575,73025,3959,havoc,2,3594.0
auto11,000000,11,000177+000002,76623981,76623,3814,havoc,4,3598.0
auto12,000000,11,000290+000262,80232545,80232,4560,havoc,4,3609.0
