filename,Map Density分子,Map Density分母,Coverage Rate
industrial1,33.85,34.72,0.9576612903225806
industrial2,34.690000000000005,34.92,0.9762313860252005
industrial3,29.51,29.64,0.9753711201079622
industrial4,36.21,36.81,0.967400162999185
industrial5,38.14,38.24,0.981694560669456
industrial6,37.64,38.2,0.9696335078534031
industrial7,36.45,38.24,0.9375
industrial8,28.740000000000002,34.35,0.8192139737991266
industrial11,32.26,36.92,0.8575297941495125
industrial12,5.79,6.91,0.7510853835021708
industrial13,3.6,7.42,0.40431266846361186
industrial15,3.13,3.16,0.800632911392405
