变量类型,数组索引,位索引(仅布尔),变量名
bool_inputs,0,1,__IX0_1
bool_inputs,0,2,__IX0_2
bool_inputs,0,3,__IX0_3
bool_inputs,0,4,__IX0_4
bool_inputs,0,5,__IX0_5
bool_inputs,0,6,__IX0_6
bool_inputs,0,7,__IX0_7
bool_inputs,0,8,__IX0_8
bool_inputs,0,9,__IX0_9
bool_inputs,0,10,__IX0_10
bool_inputs,0,11,__IX0_11
bool_inputs,0,12,__IX0_12
bool_inputs,0,13,__IX0_13
bool_inputs,0,14,__IX0_14
bool_inputs,0,15,__IX0_15
bool_inputs,0,16,__IX0_16
bool_inputs,0,17,__IX0_17
bool_inputs,0,18,__IX0_18
bool_inputs,0,19,__IX0_19
bool_inputs,0,20,__IX0_20
bool_inputs,0,21,__IX0_21
bool_inputs,0,22,__IX0_22
bool_inputs,0,23,__IX0_23
bool_inputs,0,24,__IX0_24
bool_inputs,0,25,__IX0_25
bool_inputs,0,26,__IX0_26
bool_inputs,0,27,__IX0_27
bool_inputs,0,28,__IX0_28
bool_inputs,0,29,__IX0_29
bool_inputs,0,30,__IX0_30
bool_inputs,0,31,__IX0_31
bool_inputs,0,32,__IX0_32
bool_inputs,0,33,__IX0_33
bool_inputs,0,34,__IX0_34
bool_inputs,0,35,__IX0_35
bool_inputs,0,36,__IX0_36
bool_outputs,0,1,__QX0_1
bool_outputs,0,2,__QX0_2
bool_outputs,0,3,__QX0_3
bool_outputs,0,4,__QX0_4
bool_outputs,0,5,__QX0_5
bool_outputs,0,6,__QX0_6
bool_outputs,0,7,__QX0_7
bool_outputs,0,8,__QX0_8
bool_outputs,0,9,__QX0_9
bool_outputs,0,10,__QX0_10
bool_outputs,0,11,__QX0_11
bool_outputs,0,12,__QX0_12
bool_outputs,0,13,__QX0_13
bool_outputs,0,14,__QX0_14
bool_outputs,0,15,__QX0_15
bool_outputs,0,16,__QX0_16
bool_outputs,0,17,__QX0_17
bool_outputs,0,18,__QX0_18
bool_outputs,0,19,__QX0_19
bool_outputs,0,20,__QX0_20
bool_outputs,0,21,__QX0_21
bool_outputs,0,22,__QX0_22
bool_outputs,0,23,__QX0_23
bool_outputs,0,24,__QX0_24
bool_outputs,0,25,__QX0_25
bool_outputs,0,26,__QX0_26
bool_outputs,0,27,__QX0_27
bool_outputs,0,28,__QX0_28
bool_outputs,0,29,__QX0_29
bool_outputs,0,30,__QX0_30
bool_outputs,0,31,__QX0_31
bool_outputs,0,32,__QX0_32
bool_outputs,0,33,__QX0_33
bool_outputs,0,34,__QX0_34
bool_outputs,0,35,__QX0_35
bool_outputs,0,36,__QX0_36
