# plcfuzz-testcase-catalog-v1
path	original_path	language	collection	profile	expected	origin	license	purpose
testcases/LD-test/7seg-display.ld	testcases/LD-test/7seg-display.ld	ld	ld-reference	not-applicable	not-checked	repository-history	to-review	ladder-reference
testcases/LD-test/MasterRelay-Test.ld	testcases/LD-test/MasterRelay-Test.ld	ld	ld-reference	not-applicable	not-checked	repository-history	to-review	ladder-reference
testcases/LD-test/asm_demo.ld	testcases/LD-test/asm_demo.ld	ld	ld-reference	not-applicable	not-checked	repository-history	to-review	ladder-reference
testcases/LD-test/avr-hw.ld	testcases/LD-test/avr-hw.ld	ld	ld-reference	not-applicable	not-checked	repository-history	to-review	ladder-reference
testcases/LD-test/blink.ld	testcases/LD-test/blink.ld	ld	ld-reference	not-applicable	not-checked	repository-history	to-review	ladder-reference
testcases/LD-test/c_demo.ld	testcases/LD-test/c_demo.ld	ld	ld-reference	not-applicable	not-checked	repository-history	to-review	ladder-reference
testcases/LD-test/coil_s_r_n.ld	testcases/LD-test/coil_s_r_n.ld	ld	ld-reference	not-applicable	not-checked	repository-history	to-review	ladder-reference
testcases/LD-test/contacts.ld	testcases/LD-test/contacts.ld	ld	ld-reference	not-applicable	not-checked	repository-history	to-review	ladder-reference
testcases/LD-test/ctc_osr.ld	testcases/LD-test/ctc_osr.ld	ld	ld-reference	not-applicable	not-checked	repository-history	to-review	ladder-reference
testcases/LD-test/ctu_ctd_ctc.ld	testcases/LD-test/ctu_ctd_ctc.ld	ld	ld-reference	not-applicable	not-checked	repository-history	to-review	ladder-reference
testcases/LD-test/ctu_ctd_ctc_ctr.ld	testcases/LD-test/ctu_ctd_ctc_ctr.ld	ld	ld-reference	not-applicable	not-checked	repository-history	to-review	ladder-reference
testcases/LD-test/frmt_escape.ld	testcases/LD-test/frmt_escape.ld	ld	ld-reference	not-applicable	not-checked	repository-history	to-review	ladder-reference
testcases/LD-test/hello.ld	testcases/LD-test/hello.ld	ld	ld-reference	not-applicable	not-checked	repository-history	to-review	ladder-reference
testcases/LD-test/integers.ld	testcases/LD-test/integers.ld	ld	ld-reference	not-applicable	not-checked	repository-history	to-review	ladder-reference
testcases/LD-test/misc-ops.ld	testcases/LD-test/misc-ops.ld	ld	ld-reference	not-applicable	not-checked	repository-history	to-review	ladder-reference
testcases/LD-test/pic-adc.ld	testcases/LD-test/pic-adc.ld	ld	ld-reference	not-applicable	not-checked	repository-history	to-review	ladder-reference
testcases/LD-test/pic16-hw.ld	testcases/LD-test/pic16-hw.ld	ld	ld-reference	not-applicable	not-checked	repository-history	to-review	ladder-reference
